t,V,Ap,Apm,Thn,The,Tkn,Tke,B,Ps,Pl,Bm,A
992,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.01,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.02,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.03,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.04,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.05,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.06,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.07,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.08,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.09,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.1,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.11,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.12,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.13,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.14,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.15,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.16,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.17,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.18,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.19,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.2,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.21,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.22,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.23,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.24,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.25,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.26,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.27,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.28,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.29,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.3,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.31,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.32,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.33,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.34,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.35,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.36,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.37,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.38,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.39,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.4,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.41,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.42,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.43,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.44,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.45,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.46,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.47,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.48,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.49,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.5,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.51,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.52,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.53,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.54,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.55,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.56,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.57,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.58,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.59,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.6,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.61,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.62,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.63,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.64,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.65,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.66,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.67,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.68,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.69,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.7,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.71,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.72,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.73,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.74,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.75,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.76,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.77,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.78,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.79,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.8,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.81,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.82,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.83,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.84,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.85,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.86,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.87,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.88,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.89,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.9,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.91,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.92,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.93,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.94,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.95,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.96,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.97,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.98,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
992.99,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.01,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.02,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.03,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.04,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.05,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.06,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.07,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.08,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.09,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.1,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.11,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.12,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.13,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.14,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.15,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.16,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.17,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.18,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
993.19,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
